user_id,m3_retained
kaid_1061303340925871095830606,0
kaid_1057179999781987835968845,0
kaid_1057007930883161077415453,0
kaid_1055806603896825777487286,0
kaid_1063978248148350254835139,0
kaid_1056343747662349247499263,0
kaid_1061259084235555991873934,0
kaid_1058731973068454468471223,0
kaid_1062669191796136039218151,0
kaid_1066101847995228709703606,0
kaid_1060201989976920361602228,0
kaid_104239163183253400804456,0
kaid_1049169580881745671837800,0
kaid_10447464840431215573286,0
kaid_1049665247323564398699688,0
kaid_104813183364575260733908,0
kaid_1049075381657381787688902,0
kaid_1053835658836899527849282,0
kaid_1045381695487846304285870,0
kaid_1045014138553294074552115,0
kaid_1052639813392682003857472,0
kaid_1053594144471206304040504,0
kaid_1053338766625254023263262,0
kaid_1048352716095294155422852,0
kaid_1048020267575893998985682,0
kaid_1045226105374591442518490,0
kaid_1003525085428645403142707,0
kaid_1010473053889307740976281,0
kaid_1001575628464501892081855,0
kaid_1010250260290999196490625,0
kaid_1009489866379883541952614,0
kaid_1008610986272037688266071,0
kaid_1007642809649499465761562,0
kaid_1000774841774324178028212,0
kaid_1003101217721422485981052,0
kaid_1008862900206270463370116,1
kaid_1172977777831184091024959,0
kaid_1178238521680650691963991,0
kaid_117685416737850209362491,0
kaid_1176570202244356920248355,0
kaid_1172771942572187601639110,0
kaid_1166118326456644808935274,0
kaid_1177604684839999845057043,0
kaid_1165594705900663391860775,0
kaid_1168317807936157753120957,0
kaid_116889585684182496984825,1
kaid_1176840032567703842110964,0
kaid_1169726201591377301977058,0
kaid_1177353536581953650304108,0
kaid_116987324159615487403027,0
kaid_1166777807684312299762580,0
kaid_173306086997047631038752,0
kaid_181320900150947420855658,0
kaid_181441632626335525857147,0
kaid_173054541508572566372970,0
kaid_181916936514551689740081,0
kaid_171929013948444386432811,1
kaid_169099448975316580885011,1
kaid_167422992244629893416530,0
kaid_178494652299123683378388,0
kaid_166934157154975782439530,1
kaid_17410922317345322588416,0
kaid_167368091860497037080297,1
kaid_172159032690983279028320,0
kaid_169250362719107992223062,1
kaid_165866983919221456135225,0
kaid_175811613750550082514881,0
kaid_177520364665152761849951,0
kaid_1696228545892650403754,0
kaid_179242670000307712487123,0
kaid_165845290683714300492691,0
kaid_167083820446608088823048,0
kaid_171335369074435137112017,0
kaid_178835929357492231465016,1
kaid_166067269049037180925357,0
kaid_1197114314964375161995197,0
kaid_1205387106516685177935180,0
kaid_11982154620770418240637,0
kaid_1195221481573733357701011,0
kaid_1199837636709745898192550,0
kaid_1196203461698140357469629,0
kaid_1199329798863268565990360,0
kaid_1198389382540021231151935,0
kaid_1198479803511655473572665,0
kaid_1203302701566870992370238,0
kaid_1200183185586337493103944,0
kaid_1197807200692637082929199,1
kaid_1196581109803679024957345,0
kaid_1200845700202511139972215,0
kaid_1194784291977288956163793,0
kaid_1024168620661236644222839,0
kaid_102242196395943985184855,0
kaid_1011125311752376750601249,0
kaid_1012942889469243712330441,1
kaid_1022894932583877320566988,0
kaid_1014016156040577121690084,0
kaid_1011647643837503336158868,0
kaid_1022514757952360974511202,0
kaid_1019566787930549290943771,0
kaid_1018709759105946630536093,0
kaid_1017649858609356104846474,0
